startDateTime,endDateTime,windSpeedMean,windSpeedMinimum,windSpeedMaximum,windSpeedVariance,windSpeedNumPts,windSpeedExpUncert,windSpeedStdErMean,windSpeedFinalQF,windDirMean,windDirVariance,windDirNumPts,windDirExpUncert,windDirStdErMean,windDirFinalQF
"2020-06-01T00:00:00Z","2020-06-01T00:02:00Z",0.29,0.02,0.69,0.02,120.00,0.03,0.01,0,148.33,5928.75,120.00,14.75,7.03,0
"2020-06-01T00:02:00Z","2020-06-01T00:04:00Z",0.36,0.02,0.84,0.03,120.00,0.04,0.02,0,305.06,6630.60,120.00,15.52,7.43,0
"2020-06-01T00:04:00Z","2020-06-01T00:06:00Z",0.44,0.02,0.79,0.03,120.00,0.04,0.02,0,73.88,9436.77,120.00,18.29,8.87,0
"2020-06-01T00:06:00Z","2020-06-01T00:08:00Z",0.34,0.03,0.81,0.02,120.00,0.03,0.01,0,23.07,5684.44,120.00,14.47,6.88,1
"2020-06-01T00:08:00Z","2020-06-01T00:10:00Z",0.29,0.03,0.68,0.02,110.00,0.03,0.01,0,76.37,6300.46,110.00,15.78,7.57,1
"2020-06-01T00:10:00Z","2020-06-01T00:12:00Z",0.26,0.01,0.53,0.01,120.00,0.03,0.01,0,133.83,11079.37,120.00,19.73,9.61,0
"2020-06-01T00:12:00Z","2020-06-01T00:14:00Z",0.36,0.03,1.08,0.04,120.00,0.05,0.02,0,191.45,4593.41,120.00,13.16,6.19,0
"2020-06-01T00:14:00Z","2020-06-01T00:16:00Z",0.34,0.05,0.86,0.02,120.00,0.03,0.01,0,192.22,8142.41,120.00,17.07,8.24,0
"2020-06-01T00:16:00Z","2020-06-01T00:18:00Z",0.37,0.09,0.90,0.02,120.00,0.03,0.01,0,251.69,1433.69,120.00,8.23,3.46,0
"2020-06-01T00:18:00Z","2020-06-01T00:20:00Z",0.30,0.04,0.71,0.03,120.00,0.04,0.02,0,351.25,4480.52,120.00,13.01,6.11,0
"2020-06-01T00:20:00Z","2020-06-01T00:22:00Z",0.34,0.03,0.91,0.02,120.00,0.03,0.01,0,148.48,7207.68,120.00,16.13,7.75,0
"2020-06-01T00:22:00Z","2020-06-01T00:24:00Z",0.30,0.01,0.75,0.02,120.00,0.04,0.01,0,93.53,5659.44,120.00,14.44,6.87,1
"2020-06-01T00:24:00Z","2020-06-01T00:26:00Z",0.44,0.04,1.51,0.08,120.00,0.06,0.03,0,190.61,4881.27,120.00,13.52,6.38,0
"2020-06-01T00:26:00Z","2020-06-01T00:28:00Z",0.29,0.03,0.78,0.02,120.00,0.03,0.01,0,203.98,5908.14,120.00,14.73,7.02,0
"2020-06-01T00:28:00Z","2020-06-01T00:30:00Z",0.28,0.01,0.70,0.02,120.00,0.04,0.01,0,229.87,7852.16,120.00,16.79,8.09,0
"2020-06-01T00:30:00Z","2020-06-01T00:32:00Z",0.28,0.04,0.83,0.02,120.00,0.03,0.01,0,42.54,5104.75,120.00,13.79,6.52,1
"2020-06-01T00:32:00Z","2020-06-01T00:34:00Z",0.26,0.01,0.72,0.02,120.00,0.04,0.01,0,323.54,3507.08,120.00,11.70,5.41,1
"2020-06-01T00:34:00Z","2020-06-01T00:36:00Z",0.13,0.01,0.47,0.01,120.00,0.02,0.01,0,87.41,6496.06,120.00,15.38,7.36,0
"2020-06-01T00:36:00Z","2020-06-01T00:38:00Z",0.25,0.01,0.75,0.02,120.00,0.03,0.01,0,247.54,8299.41,120.00,17.22,8.32,0
"2020-06-01T00:38:00Z","2020-06-01T00:40:00Z",0.24,0.03,0.72,0.02,120.00,0.03,0.01,0,356.77,3004.32,120.00,10.96,5.00,1
"2020-06-01T00:40:00Z","2020-06-01T00:42:00Z",0.27,0.01,0.55,0.02,120.00,0.03,0.01,0,24.47,3031.35,120.00,11.00,5.03,1
"2020-06-01T00:42:00Z","2020-06-01T00:44:00Z",0.26,0.01,0.67,0.02,120.00,0.03,0.01,0,85.47,4832.45,120.00,13.46,6.35,1
"2020-06-01T00:44:00Z","2020-06-01T00:46:00Z",0.44,0.00,1.49,0.07,120.00,0.06,0.02,0,32.86,4335.55,120.00,12.83,6.01,1
"2020-06-01T00:46:00Z","2020-06-01T00:48:00Z",0.40,0.04,1.32,0.05,120.00,0.05,0.02,0,56.70,5744.85,120.00,14.54,6.92,1
"2020-06-01T00:48:00Z","2020-06-01T00:50:00Z",0.40,0.00,0.82,0.03,120.00,0.04,0.02,0,88.10,5708.55,120.00,14.50,6.90,1
"2020-06-01T00:50:00Z","2020-06-01T00:52:00Z",0.58,0.08,1.27,0.08,120.00,0.06,0.03,0,58.40,5578.91,120.00,14.35,6.82,1
"2020-06-01T00:52:00Z","2020-06-01T00:54:00Z",0.49,0.05,1.79,0.08,120.00,0.06,0.03,0,81.03,7529.96,120.00,16.46,7.92,0
"2020-06-01T00:54:00Z","2020-06-01T00:56:00Z",0.71,0.08,2.93,0.22,120.00,0.10,0.04,0,80.69,7011.39,120.00,15.93,7.64,1
"2020-06-01T00:56:00Z","2020-06-01T00:58:00Z",0.74,0.05,2.28,0.18,120.00,0.09,0.04,0,63.39,7372.04,120.00,16.30,7.84,1
"2020-06-01T00:58:00Z","2020-06-01T01:00:00Z",0.66,0.01,1.71,0.11,120.00,0.07,0.03,0,78.59,7154.22,120.00,16.08,7.72,1
"2020-06-01T01:00:00Z","2020-06-01T01:02:00Z",0.65,0.04,1.59,0.13,120.00,0.07,0.03,0,7.85,6619.09,120.00,15.51,7.43,1
"2020-06-01T01:02:00Z","2020-06-01T01:04:00Z",0.69,0.11,1.65,0.10,120.00,0.07,0.03,0,58.90,5838.64,120.00,14.65,6.98,1
"2020-06-01T01:04:00Z","2020-06-01T01:06:00Z",0.54,0.06,1.95,0.08,120.00,0.07,0.03,0,55.37,5036.24,120.00,13.71,6.48,1
"2020-06-01T01:06:00Z","2020-06-01T01:08:00Z",0.72,0.12,1.85,0.14,120.00,0.08,0.03,0,22.10,3768.62,120.00,12.07,5.60,1
"2020-06-01T01:08:00Z","2020-06-01T01:10:00Z",0.61,0.01,1.73,0.17,120.00,0.08,0.04,0,17.60,6697.97,120.00,15.60,7.47,1
"2020-06-01T01:10:00Z","2020-06-01T01:12:00Z",0.73,0.05,2.33,0.15,120.00,0.08,0.03,0,40.99,7764.86,120.00,16.70,8.04,1
"2020-06-01T01:12:00Z","2020-06-01T01:14:00Z",0.54,0.04,2.03,0.12,120.00,0.08,0.03,0,46.37,6949.83,120.00,15.86,7.61,1
"2020-06-01T01:14:00Z","2020-06-01T01:16:00Z",0.49,0.04,1.68,0.09,120.00,0.06,0.03,0,72.03,4692.37,120.00,13.28,6.25,0
"2020-06-01T01:16:00Z","2020-06-01T01:18:00Z",0.57,0.05,1.32,0.07,120.00,0.06,0.02,0,35.21,4102.64,120.00,12.52,5.85,1
"2020-06-01T01:18:00Z","2020-06-01T01:20:00Z",0.44,0.02,1.49,0.07,120.00,0.06,0.02,0,66.67,6780.89,120.00,15.69,7.52,1
"2020-06-01T01:20:00Z","2020-06-01T01:22:00Z",0.57,0.02,1.84,0.10,120.00,0.07,0.03,0,76.21,6897.68,120.00,15.81,7.58,1
"2020-06-01T01:22:00Z","2020-06-01T01:24:00Z",0.43,0.04,1.31,0.05,120.00,0.05,0.02,0,82.45,7182.76,120.00,16.11,7.74,1
"2020-06-01T01:24:00Z","2020-06-01T01:26:00Z",0.47,0.04,1.30,0.06,120.00,0.05,0.02,0,42.10,5191.97,120.00,13.89,6.58,1
"2020-06-01T01:26:00Z","2020-06-01T01:28:00Z",0.38,0.02,0.97,0.04,120.00,0.04,0.02,0,149.80,10703.53,120.00,19.41,9.44,1
"2020-06-01T01:28:00Z","2020-06-01T01:30:00Z",0.34,0.01,1.44,0.05,120.00,0.05,0.02,0,101.39,7646.17,120.00,16.58,7.98,1
"2020-06-01T01:30:00Z","2020-06-01T01:32:00Z",0.28,0.05,0.77,0.02,120.00,0.03,0.01,0,106.72,5218.17,120.00,13.93,6.59,1
"2020-06-01T01:32:00Z","2020-06-01T01:34:00Z",0.38,0.02,0.95,0.04,120.00,0.04,0.02,0,210.99,9595.86,120.00,18.44,8.94,0
"2020-06-01T01:34:00Z","2020-06-01T01:36:00Z",0.28,0.01,0.67,0.03,120.00,0.04,0.02,0,125.48,6000.07,120.00,14.83,7.07,1
"2020-06-01T01:36:00Z","2020-06-01T01:38:00Z",0.36,0.03,1.00,0.02,120.00,0.04,0.01,0,70.86,6068.59,120.00,14.91,7.11,1
"2020-06-01T01:38:00Z","2020-06-01T01:40:00Z",0.39,0.08,0.97,0.03,120.00,0.04,0.02,0,172.94,7762.07,120.00,16.70,8.04,0
"2020-06-01T01:40:00Z","2020-06-01T01:42:00Z",0.25,0.01,0.98,0.02,120.00,0.04,0.01,0,328.51,9019.45,120.00,17.91,8.67,0
"2020-06-01T01:42:00Z","2020-06-01T01:44:00Z",0.30,0.01,0.94,0.03,120.00,0.04,0.02,0,37.44,8853.22,120.00,17.75,8.59,0
"2020-06-01T01:44:00Z","2020-06-01T01:46:00Z",0.31,0.02,0.89,0.03,120.00,0.04,0.02,0,146.80,4919.51,120.00,13.56,6.40,0
"2020-06-01T01:46:00Z","2020-06-01T01:48:00Z",0.25,0.02,0.64,0.01,120.00,0.03,0.01,0,4.75,4008.48,120.00,12.39,5.78,1
"2020-06-01T01:48:00Z","2020-06-01T01:50:00Z",0.40,0.01,1.06,0.05,120.00,0.05,0.02,0,26.81,2458.88,120.00,10.10,4.53,1
"2020-06-01T01:50:00Z","2020-06-01T01:52:00Z",0.23,0.01,0.47,0.01,120.00,0.02,0.01,0,321.09,7711.63,120.00,16.64,8.02,1
"2020-06-01T01:52:00Z","2020-06-01T01:54:00Z",0.34,0.01,0.75,0.03,120.00,0.04,0.02,0,45.16,5061.55,120.00,13.74,6.49,1
"2020-06-01T01:54:00Z","2020-06-01T01:56:00Z",0.33,0.01,0.78,0.03,120.00,0.04,0.02,0,355.63,6978.27,120.00,15.89,7.63,1
"2020-06-01T01:56:00Z","2020-06-01T01:58:00Z",0.24,0.01,0.72,0.02,120.00,0.03,0.01,0,46.55,4902.86,120.00,13.54,6.39,1
"2020-06-01T01:58:00Z","2020-06-01T02:00:00Z",0.27,0.04,0.76,0.02,120.00,0.03,0.01,0,22.35,6202.61,120.00,15.06,7.19,1
"2020-06-01T02:00:00Z","2020-06-01T02:02:00Z",0.28,0.01,0.61,0.01,120.00,0.03,0.01,0,346.17,6252.07,120.00,15.11,7.22,1
"2020-06-01T02:02:00Z","2020-06-01T02:04:00Z",0.23,0.02,0.71,0.03,120.00,0.03,0.01,0,56.17,6792.14,120.00,15.70,7.52,1
"2020-06-01T02:04:00Z","2020-06-01T02:06:00Z",0.20,0.01,0.42,0.01,120.00,0.03,0.01,0,347.20,5929.30,120.00,14.75,7.03,0
"2020-06-01T02:06:00Z","2020-06-01T02:08:00Z",0.18,0.03,0.47,0.01,120.00,0.02,0.01,0,8.28,3082.38,120.00,11.08,5.07,1
"2020-06-01T02:08:00Z","2020-06-01T02:10:00Z",0.28,0.02,0.70,0.02,120.00,0.03,0.01,0,59.32,4123.74,120.00,12.55,5.86,1
"2020-06-01T02:10:00Z","2020-06-01T02:12:00Z",0.22,0.02,0.50,0.01,120.00,0.02,0.01,0,116.80,3919.27,120.00,12.27,5.71,1
"2020-06-01T02:12:00Z","2020-06-01T02:14:00Z",0.24,0.00,0.54,0.01,120.00,0.02,0.01,0,59.86,5719.73,120.00,14.51,6.90,1
"2020-06-01T02:14:00Z","2020-06-01T02:16:00Z",0.19,0.00,0.43,0.01,120.00,0.02,0.01,0,49.00,3676.20,120.00,11.94,5.53,1
"2020-06-01T02:16:00Z","2020-06-01T02:18:00Z",0.16,0.00,0.53,0.01,120.00,0.03,0.01,0,43.46,3444.51,120.00,11.61,5.36,1
"2020-06-01T02:18:00Z","2020-06-01T02:20:00Z",0.23,0.00,0.66,0.02,120.00,0.03,0.01,0,6.01,5609.17,120.00,14.39,6.84,1
"2020-06-01T02:20:00Z","2020-06-01T02:22:00Z",0.30,0.02,0.69,0.02,120.00,0.03,0.01,0,26.76,3765.36,120.00,12.06,5.60,1
"2020-06-01T02:22:00Z","2020-06-01T02:24:00Z",0.19,0.01,0.52,0.01,120.00,0.03,0.01,0,341.51,5909.53,120.00,14.73,7.02,0
"2020-06-01T02:24:00Z","2020-06-01T02:26:00Z",0.34,0.02,0.85,0.03,120.00,0.04,0.02,0,70.24,6404.91,120.00,15.28,7.31,1
"2020-06-01T02:26:00Z","2020-06-01T02:28:00Z",0.35,0.05,0.87,0.03,120.00,0.04,0.02,0,54.74,5322.09,120.00,14.05,6.66,1
"2020-06-01T02:28:00Z","2020-06-01T02:30:00Z",0.28,0.01,0.73,0.03,120.00,0.04,0.02,0,51.65,5587.86,120.00,14.36,6.82,1
"2020-06-01T02:30:00Z","2020-06-01T02:32:00Z",0.26,0.01,0.87,0.02,120.00,0.04,0.01,0,67.42,8512.26,120.00,17.43,8.42,1
"2020-06-01T02:32:00Z","2020-06-01T02:34:00Z",0.32,0.03,0.79,0.03,120.00,0.04,0.02,0,35.80,4153.15,120.00,12.59,5.88,1
"2020-06-01T02:34:00Z","2020-06-01T02:36:00Z",0.33,0.02,0.84,0.03,120.00,0.04,0.02,0,79.57,7415.30,120.00,16.35,7.86,1
"2020-06-01T02:36:00Z","2020-06-01T02:38:00Z",0.26,0.01,0.96,0.02,120.00,0.04,0.01,0,61.08,8568.85,120.00,17.48,8.45,1
"2020-06-01T02:38:00Z","2020-06-01T02:40:00Z",0.22,0.01,0.60,0.01,120.00,0.03,0.01,0,44.15,8464.26,120.00,17.38,8.40,1
"2020-06-01T02:40:00Z","2020-06-01T02:42:00Z",0.26,0.00,0.73,0.02,120.00,0.03,0.01,0,4.64,3319.88,120.00,11.43,5.26,1
"2020-06-01T02:42:00Z","2020-06-01T02:44:00Z",0.36,0.02,1.23,0.06,120.00,0.05,0.02,0,42.93,5656.70,120.00,14.44,6.87,1
"2020-06-01T02:44:00Z","2020-06-01T02:46:00Z",0.32,0.00,0.90,0.03,120.00,0.04,0.02,0,24.56,7086.73,120.00,16.01,7.68,1
"2020-06-01T02:46:00Z","2020-06-01T02:48:00Z",0.33,0.05,1.09,0.05,120.00,0.05,0.02,0,79.06,5799.92,120.00,14.61,6.95,1
"2020-06-01T02:48:00Z","2020-06-01T02:50:00Z",0.33,0.03,0.86,0.03,120.00,0.04,0.01,0,85.44,6069.39,120.00,14.91,7.11,0
"2020-06-01T02:50:00Z","2020-06-01T02:52:00Z",0.40,0.00,1.11,0.04,120.00,0.05,0.02,0,66.49,6601.75,120.00,15.49,7.42,1
"2020-06-01T02:52:00Z","2020-06-01T02:54:00Z",0.42,0.04,0.85,0.03,120.00,0.04,0.02,0,19.15,3217.36,120.00,11.28,5.18,1
"2020-06-01T02:54:00Z","2020-06-01T02:56:00Z",0.40,0.03,1.22,0.07,120.00,0.05,0.02,0,45.68,4618.76,120.00,13.19,6.20,1
"2020-06-01T02:56:00Z","2020-06-01T02:58:00Z",0.37,0.00,0.78,0.03,120.00,0.03,0.01,0,32.85,3619.02,120.00,11.86,5.49,1
"2020-06-01T02:58:00Z","2020-06-01T03:00:00Z",0.44,0.06,0.91,0.04,120.00,0.04,0.02,0,98.80,5279.78,120.00,14.00,6.63,1
"2020-06-01T03:00:00Z","2020-06-01T03:02:00Z",0.39,0.06,1.64,0.05,120.00,0.05,0.02,0,69.75,5765.41,120.00,14.57,6.93,1
"2020-06-01T03:02:00Z","2020-06-01T03:04:00Z",0.37,0.01,0.98,0.03,120.00,0.04,0.02,0,80.77,5542.02,120.00,14.31,6.80,1
"2020-06-01T03:04:00Z","2020-06-01T03:06:00Z",0.32,0.00,0.84,0.03,120.00,0.04,0.02,0,80.32,5963.60,120.00,14.79,7.05,1
"2020-06-01T03:06:00Z","2020-06-01T03:08:00Z",0.40,0.02,0.90,0.05,120.00,0.05,0.02,0,54.43,5695.55,120.00,14.49,6.89,1
"2020-06-01T03:08:00Z","2020-06-01T03:10:00Z",0.39,0.07,1.35,0.05,120.00,0.05,0.02,0,77.58,6217.85,120.00,15.08,7.20,1
"2020-06-01T03:10:00Z","2020-06-01T03:12:00Z",0.31,0.02,0.78,0.03,120.00,0.04,0.01,0,44.27,4956.58,120.00,13.61,6.43,1
"2020-06-01T03:12:00Z","2020-06-01T03:14:00Z",0.26,0.02,0.61,0.02,120.00,0.03,0.01,0,28.46,4204.34,120.00,12.65,5.92,1
"2020-06-01T03:14:00Z","2020-06-01T03:16:00Z",0.24,0.03,0.71,0.02,120.00,0.03,0.01,0,49.97,7294.35,120.00,16.22,7.80,1
"2020-06-01T03:16:00Z","2020-06-01T03:18:00Z",0.21,0.01,0.57,0.01,120.00,0.03,0.01,0,43.71,5885.57,120.00,14.70,7.00,1
"2020-06-01T03:18:00Z","2020-06-01T03:20:00Z",0.28,0.02,0.77,0.02,120.00,0.03,0.01,0,86.26,7449.24,120.00,16.38,7.88,1
"2020-06-01T03:20:00Z","2020-06-01T03:22:00Z",0.26,0.02,0.59,0.01,120.00,0.03,0.01,0,20.08,5374.39,120.00,14.11,6.69,1
"2020-06-01T03:22:00Z","2020-06-01T03:24:00Z",0.29,0.02,0.84,0.03,120.00,0.04,0.01,0,53.54,3539.07,120.00,11.75,5.43,1
"2020-06-01T03:24:00Z","2020-06-01T03:26:00Z",0.22,0.02,0.53,0.01,120.00,0.03,0.01,0,155.77,5733.67,120.00,14.53,6.91,0
"2020-06-01T03:26:00Z","2020-06-01T03:28:00Z",0.24,0.03,0.53,0.01,120.00,0.03,0.01,0,100.94,5964.69,120.00,14.79,7.05,1
"2020-06-01T03:28:00Z","2020-06-01T03:30:00Z",0.32,0.04,0.71,0.02,120.00,0.03,0.01,0,49.24,4705.00,120.00,13.30,6.26,1
"2020-06-01T03:30:00Z","2020-06-01T03:32:00Z",0.29,0.05,0.69,0.02,120.00,0.03,0.01,0,11.80,1079.77,120.00,7.48,3.00,1
"2020-06-01T03:32:00Z","2020-06-01T03:34:00Z",0.43,0.03,1.18,0.05,120.00,0.05,0.02,0,51.10,5453.66,120.00,14.21,6.74,1
"2020-06-01T03:34:00Z","2020-06-01T03:36:00Z",0.37,0.01,0.90,0.04,120.00,0.04,0.02,0,38.28,4088.28,120.00,12.50,5.84,1
"2020-06-01T03:36:00Z","2020-06-01T03:38:00Z",0.36,0.02,0.90,0.03,120.00,0.04,0.02,0,67.95,5278.20,120.00,14.00,6.63,1
"2020-06-01T03:38:00Z","2020-06-01T03:40:00Z",0.29,0.05,0.80,0.02,120.00,0.03,0.01,0,74.99,3677.56,120.00,11.94,5.54,1
"2020-06-01T03:40:00Z","2020-06-01T03:42:00Z",0.42,0.03,1.26,0.06,120.00,0.05,0.02,0,56.03,8357.77,120.00,17.28,8.35,1
"2020-06-01T03:42:00Z","2020-06-01T03:44:00Z",0.33,0.04,0.66,0.02,120.00,0.03,0.01,0,48.95,8095.14,120.00,17.02,8.21,1
"2020-06-01T03:44:00Z","2020-06-01T03:46:00Z",0.39,0.02,0.86,0.03,120.00,0.04,0.02,0,38.11,3576.95,120.00,11.80,5.46,1
"2020-06-01T03:46:00Z","2020-06-01T03:48:00Z",0.32,0.03,0.84,0.03,120.00,0.04,0.02,0,68.35,6529.83,120.00,15.42,7.38,1
"2020-06-01T03:48:00Z","2020-06-01T03:50:00Z",0.35,0.04,1.59,0.05,120.00,0.05,0.02,0,63.46,7595.11,120.00,16.53,7.96,1
"2020-06-01T03:50:00Z","2020-06-01T03:52:00Z",0.36,0.04,1.13,0.04,120.00,0.05,0.02,0,10.93,5459.89,120.00,14.21,6.75,1
"2020-06-01T03:52:00Z","2020-06-01T03:54:00Z",0.43,0.05,1.65,0.11,120.00,0.07,0.03,0,49.35,7680.73,120.00,16.61,8.00,1
"2020-06-01T03:54:00Z","2020-06-01T03:56:00Z",0.44,0.05,1.32,0.07,120.00,0.06,0.02,0,40.29,3490.76,120.00,11.68,5.39,1
"2020-06-01T03:56:00Z","2020-06-01T03:58:00Z",0.37,0.02,0.95,0.04,120.00,0.04,0.02,0,53.53,4895.12,120.00,13.53,6.39,1
"2020-06-01T03:58:00Z","2020-06-01T04:00:00Z",0.26,0.04,0.62,0.02,120.00,0.03,0.01,0,98.43,5032.30,120.00,13.70,6.48,1
"2020-06-01T04:00:00Z","2020-06-01T04:02:00Z",0.22,0.03,0.55,0.01,120.00,0.02,0.01,0,4.06,4577.35,120.00,13.14,6.18,1
"2020-06-01T04:02:00Z","2020-06-01T04:04:00Z",0.25,0.01,0.66,0.01,120.00,0.03,0.01,0,276.10,7537.28,120.00,16.47,7.93,0
"2020-06-01T04:04:00Z","2020-06-01T04:06:00Z",0.31,0.04,0.69,0.02,120.00,0.03,0.01,0,8.80,4601.87,120.00,13.17,6.19,1
"2020-06-01T04:06:00Z","2020-06-01T04:08:00Z",0.34,0.02,1.01,0.05,120.00,0.05,0.02,0,130.03,7645.39,120.00,16.58,7.98,1
"2020-06-01T04:08:00Z","2020-06-01T04:10:00Z",0.23,0.01,0.54,0.01,120.00,0.03,0.01,0,44.57,6500.59,120.00,15.38,7.36,1
"2020-06-01T04:10:00Z","2020-06-01T04:12:00Z",0.30,0.01,0.83,0.02,120.00,0.03,0.01,0,18.70,3751.58,120.00,12.04,5.59,1
"2020-06-01T04:12:00Z","2020-06-01T04:14:00Z",0.19,0.02,0.57,0.01,112.00,0.03,0.01,0,343.49,4929.66,112.00,14.00,6.63,1
"2020-06-01T04:14:00Z","2020-06-01T04:16:00Z",0.32,0.00,1.00,0.03,120.00,0.04,0.02,0,74.38,6574.78,120.00,15.46,7.40,1
"2020-06-01T04:16:00Z","2020-06-01T04:18:00Z",0.26,0.02,0.62,0.01,120.00,0.03,0.01,0,8.91,8190.24,120.00,17.12,8.26,1
"2020-06-01T04:18:00Z","2020-06-01T04:20:00Z",0.19,0.02,0.45,0.00,120.00,0.02,0.01,0,47.83,4816.36,120.00,13.44,6.34,1
"2020-06-01T04:20:00Z","2020-06-01T04:22:00Z",0.27,0.00,0.87,0.03,120.00,0.04,0.02,0,56.01,7440.89,120.00,16.37,7.87,0
"2020-06-01T04:22:00Z","2020-06-01T04:24:00Z",0.20,0.01,0.57,0.01,120.00,0.03,0.01,0,172.01,8781.83,120.00,17.68,8.55,0
"2020-06-01T04:24:00Z","2020-06-01T04:26:00Z",0.27,0.01,0.61,0.02,120.00,0.04,0.01,0,56.77,6655.68,120.00,15.55,7.45,1
"2020-06-01T04:26:00Z","2020-06-01T04:28:00Z",0.23,0.05,0.97,0.03,120.00,0.04,0.02,0,289.22,6438.53,120.00,15.32,7.32,1
"2020-06-01T04:28:00Z","2020-06-01T04:30:00Z",0.39,0.04,1.32,0.07,120.00,0.06,0.02,0,144.91,6616.46,120.00,15.51,7.43,0
"2020-06-01T04:30:00Z","2020-06-01T04:32:00Z",0.30,0.03,1.18,0.05,120.00,0.05,0.02,0,144.17,7537.71,120.00,16.47,7.93,0
"2020-06-01T04:32:00Z","2020-06-01T04:34:00Z",0.22,0.00,0.75,0.02,120.00,0.03,0.01,0,144.32,6108.95,120.00,14.95,7.13,1
"2020-06-01T04:34:00Z","2020-06-01T04:36:00Z",0.32,0.00,1.23,0.05,120.00,0.05,0.02,0,164.04,6401.47,120.00,15.28,7.30,0
"2020-06-01T04:36:00Z","2020-06-01T04:38:00Z",0.37,0.02,1.17,0.05,120.00,0.05,0.02,0,52.91,6329.17,120.00,15.20,7.26,1
"2020-06-01T04:38:00Z","2020-06-01T04:40:00Z",0.33,0.07,0.73,0.02,120.00,0.03,0.01,0,46.93,8886.64,120.00,17.78,8.61,0
"2020-06-01T04:40:00Z","2020-06-01T04:42:00Z",0.31,0.04,0.95,0.02,120.00,0.03,0.01,0,19.93,8701.62,120.00,17.61,8.52,1
"2020-06-01T04:42:00Z","2020-06-01T04:44:00Z",0.29,0.01,0.73,0.03,120.00,0.04,0.02,0,33.73,6285.68,120.00,15.15,7.24,1
"2020-06-01T04:44:00Z","2020-06-01T04:46:00Z",0.31,0.04,0.86,0.03,120.00,0.04,0.02,0,11.57,3818.68,120.00,12.14,5.64,1
"2020-06-01T04:46:00Z","2020-06-01T04:48:00Z",0.33,0.03,0.94,0.03,120.00,0.04,0.02,0,152.43,7632.78,120.00,16.57,7.98,0
"2020-06-01T04:48:00Z","2020-06-01T04:50:00Z",0.19,0.02,0.53,0.01,120.00,0.03,0.01,0,127.03,5025.12,120.00,13.69,6.47,0
"2020-06-01T04:50:00Z","2020-06-01T04:52:00Z",0.17,0.02,0.42,0.01,120.00,0.02,0.01,0,114.67,7019.73,120.00,15.94,7.65,1
"2020-06-01T04:52:00Z","2020-06-01T04:54:00Z",0.37,0.00,0.91,0.05,120.00,0.04,0.02,0,30.09,3151.10,120.00,11.18,5.12,1
"2020-06-01T04:54:00Z","2020-06-01T04:56:00Z",0.37,0.00,1.02,0.03,120.00,0.04,0.02,0,104.97,5035.57,120.00,13.71,6.48,1
"2020-06-01T04:56:00Z","2020-06-01T04:58:00Z",0.27,0.00,0.80,0.03,120.00,0.04,0.01,0,356.73,7313.08,120.00,16.24,7.81,1
"2020-06-01T04:58:00Z","2020-06-01T05:00:00Z",0.27,0.01,0.81,0.02,120.00,0.03,0.01,0,4.03,7778.26,120.00,16.71,8.05,1
"2020-06-01T05:00:00Z","2020-06-01T05:02:00Z",0.20,0.03,0.48,0.01,120.00,0.02,0.01,0,20.59,4764.27,120.00,13.37,6.30,1
"2020-06-01T05:02:00Z","2020-06-01T05:04:00Z",0.41,0.01,1.07,0.05,120.00,0.05,0.02,0,14.62,2664.27,120.00,10.43,4.71,1
"2020-06-01T05:04:00Z","2020-06-01T05:06:00Z",0.27,0.01,0.83,0.02,120.00,0.04,0.01,0,69.26,4935.87,120.00,13.58,6.41,1
"2020-06-01T05:06:00Z","2020-06-01T05:08:00Z",0.26,0.07,0.65,0.02,120.00,0.03,0.01,0,19.23,3715.81,120.00,11.99,5.56,1
"2020-06-01T05:08:00Z","2020-06-01T05:10:00Z",0.36,0.03,1.33,0.04,120.00,0.05,0.02,0,41.94,5910.73,120.00,14.73,7.02,1
"2020-06-01T05:10:00Z","2020-06-01T05:12:00Z",0.27,0.01,0.83,0.02,120.00,0.03,0.01,0,53.78,6030.57,120.00,14.87,7.09,1
"2020-06-01T05:12:00Z","2020-06-01T05:14:00Z",0.33,0.02,0.97,0.03,120.00,0.04,0.02,0,52.63,3575.20,120.00,11.80,5.46,1
"2020-06-01T05:14:00Z","2020-06-01T05:16:00Z",0.38,0.05,0.94,0.04,120.00,0.04,0.02,0,23.24,5058.32,120.00,13.73,6.49,1
"2020-06-01T05:16:00Z","2020-06-01T05:18:00Z",0.36,0.04,1.00,0.03,120.00,0.04,0.02,0,46.09,4636.81,120.00,13.21,6.22,1
"2020-06-01T05:18:00Z","2020-06-01T05:20:00Z",0.34,0.02,0.94,0.04,120.00,0.04,0.02,0,75.72,3555.31,120.00,11.77,5.44,1
"2020-06-01T05:20:00Z","2020-06-01T05:22:00Z",0.37,0.03,0.97,0.04,120.00,0.04,0.02,0,51.12,4330.74,120.00,12.82,6.01,1
"2020-06-01T05:22:00Z","2020-06-01T05:24:00Z",0.46,0.02,1.40,0.07,120.00,0.06,0.02,0,60.44,4011.20,120.00,12.40,5.78,1
"2020-06-01T05:24:00Z","2020-06-01T05:26:00Z",0.41,0.07,1.12,0.04,120.00,0.05,0.02,0,35.53,6727.16,120.00,15.63,7.49,1
"2020-06-01T05:26:00Z","2020-06-01T05:28:00Z",0.37,0.00,1.00,0.05,120.00,0.05,0.02,0,48.73,6259.31,120.00,15.12,7.22,1
"2020-06-01T05:28:00Z","2020-06-01T05:30:00Z",0.54,0.05,1.18,0.08,120.00,0.06,0.03,0,42.43,5230.49,120.00,13.94,6.60,1
